The Godfather,Crime/Drama,An aging Mafia patriarch transfers control of his clandestine empire to his reluctant son.,175,1972,98%,9.2,18,22
The Dark Knight,Action/Crime/Drama,When the menace known as the Joker wreaks havoc and chaos on the people of Gotham- Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.,152,2008,94%,9.0,12,3
Pulp Fiction,Crime/Drama,The lives of two mob hitmen- a boxer- a gangster and his wife- and a pair of diner bandits intertwine in four tales of violence and redemption.,154,1994,92%,8.9,18,4
Goodfellas,Biography/Crime/Drama,The story of Henry Hill and his life in the mob- covering his relationship with his wife Karen Hill and his two partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.,146,1990,96%,8.7,18,5
Inception,Action/Sci-Fi/Thriller,A thief who steals corporate secrets through use of dream-sharing technology is given the inverse task of planting an idea into thed of a CEO.,148,2010,87%,8.8,12A,3
Django Unchained,Drama/Western,With the help of a German bounty hunter- a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.,165,2012,87%,8.4,18,4
The Departed,Crime/Drama/Thriller,An undercover cop and a mole in the police attempt to identify each other as they infiltrate an Irish gang in South Boston.,151,2006,91%,8.5,18,5
No Country for Old Men,Crime/Drama/Thriller,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash.,122,2007,93%,8.2,18,14
Little Women,Drama/Romance,Four sisters come of age in America in the aftermath of the Civil War.,135,2019,95%,7.8,U,17
The Prestige,Drama/Mystery/Sci-Fi,Two stage magicians engage in competitive one-upmanship in an obsessive rivalry that is filled with deadly consequences.,130,2006,76%,8.5,12A,3
